Steps,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Entropy,Environment/Episode Length,Self-play/ELO,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
50000,-0.44416696,0.084777914,2.079114,3062.0,1200.5,1.0,1.0,0.0,1.0
60000,-0.41477084,0.087765716,2.0791228,4541.666666666667,1201.4961672150102,1.0,1.0,0.0,1.0
70000,-0.43129906,0.07607929,2.0790977,None,None,None,None,None,1.0
80000,-0.45074207,0.08242594,2.0791028,5999.0,1202.839110037623,0.3333333333333333,0.3333333333333333,0.0,1.0
90000,-0.48271322,0.09878537,2.0790799,5999.0,1202.9331144259988,0.0,0.0,0.0,1.0
100000,-0.47553283,0.09088923,2.0790823,5999.0,1202.9289015771171,None,None,None,1.0
110000,-0.48429698,0.09024443,2.0790858,None,None,0.0,0.0,0.0,1.0
120000,-0.41504812,0.1060599,2.079096,4876.0,1203.1687229343027,0.0,0.0,0.0,1.0
130000,-0.47081155,0.10425554,2.079096,5999.0,1203.4162865613046,1.0,1.0,0.0,1.0
140000,-0.46323937,0.09818435,2.079085,3769.0,1203.91486557775,1.0,1.0,0.0,1.0
150000,-0.50476044,0.08400524,2.079088,3675.5,1204.036199377831,0.5,0.5,0.0,1.0
160000,-0.47778764,0.11726564,2.0790932,None,None,None,None,None,1.0
170000,-0.45979372,0.112187885,2.079098,5531.555555555556,1204.2239218007549,0.0,0.0,0.0,1.0
180000,-0.47513664,0.0736782,2.0790784,3267.0,1205.3812364302216,1.0,1.0,0.0,1.0
190000,-0.47257262,0.07538226,2.0790796,1667.0,1205.8692763728288,None,None,None,1.0
200000,-0.46319968,0.088970885,2.079084,None,None,1.0,1.0,0.0,1.0
